

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Timestamp        Logging Entity           Source                   Destination              Seq No  Flag    Ack No  Start Payload            Checksum    Comment                                           
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
22:42:8.310      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.311      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.312      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.312      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.313      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.314      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.315      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.315      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.316      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.317      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.317      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.318      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.319      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.320      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.320      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.321      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.321      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.322      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.323      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.323      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.324      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.324      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.325      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.325      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.327      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.327      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.328      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.328      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.329      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.330      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.330      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.331      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.331      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.332      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.333      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.334      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.334      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.335      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.335      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.336      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.336      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.337      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.338      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.339      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.339      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.340      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.340      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.341      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.342      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.342      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.343      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.343      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.344      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.344      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.345      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.346      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.346      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.347      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.347      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.348      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.351      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.351      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.352      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.352      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.352      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.353      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.353      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.353      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.354      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.354      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.354      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.355      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.355      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.356      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.356      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.356      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.357      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.357      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.357      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.358      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.358      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.358      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.359      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.359      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.359      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.360      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.360      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.360      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.361      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.361      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.361      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.362      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.362      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.362      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.363      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.363      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.363      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.364      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.364      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.364      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.365      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.365      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.365      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.366      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.366      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.367      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.367      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.367      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.368      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.368      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.368      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.369      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.369      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.369      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.370      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.370      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.370      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.371      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.371      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.372      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.372      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.372      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.373      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.373      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.373      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.373      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.374      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.374      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.375      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.375      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.375      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.376      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.376      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.377      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.377      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.378      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.378      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.378      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.379      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.379      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.380      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.380      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.381      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.381      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.381      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.382      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.382      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.382      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.383      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.383      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.384      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.384      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.384      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.385      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.385      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.386      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.386      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.387      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.387      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.388      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.388      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.388      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.389      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.389      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.390      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.390      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.391      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.391      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.392      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.392      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.393      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.393      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.394      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.394      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.395      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.396      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.396      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.399      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.399      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.400      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.401      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.401      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.402      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.403      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.404      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.404      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.405      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.406      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.407      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.407      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.407      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.408      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.408      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.409      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.409      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.409      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.410      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.411      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.411      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.412      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.412      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.412      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.413      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.414      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.415      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.415      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.416      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.416      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.417      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.417      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.417      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.418      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.418      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.419      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.419      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.419      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.420      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.420      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
22:42:8.421      AbstractConnection                                                                                                                      Waiting for incoming packet in receiveAck()       
22:42:8.421      CLSocket::receive                                                                                                                       Receiving at:5555                                 
22:42:8.421      ClSocketReceiver                                                                                                                        Exception while receiving: Address already in use 
